205;William Cuylle;23;NYR;LW;;;;;;;;;;;;;;;;;;;
206;Joel Farabee;25;CGY;LW;;;;;;;;;;;;;;;;;;;
207;Erik Haula;34;NSH;LW;;;;;;;;;;;;;;;;;;;
208;Boone Jenner;32;CBJ;C;;;;;;;;;;;;;;;;;;;
209;An?e Kopitar;38;LAK;C;;;;;;;;;;;;;;;;;;;
210;Oliver Kapanen;22;MTL;C;;;;;;;;;;;;;;;;;;;
211;Mike Matheson;31;MTL;D;;;;;;;;;;;;;;;;;;;
212;K'Andre Miller;26;CAR;D;;;;;;;;;;;;;;;;;;;
213;Dmitry Orlov;34;SJS;D;;;;;;;;;;;;;;;;;;;
214;Vasily Podkolzin;24;EDM;RW;;;;;;;;;;;;;;;;;;;
215;Travis Sanheim;29;PHI;D;;;;;;;;;;;;;;;;;;;
216;Matthew Savoie;22;EDM;C;;;;;;;;;;;;;;;;;;;
217;Corey Perry;40;2TM;RW;;;;;;;;;;;;;;;;;;;
217;Corey Perry;40;LAK;RW;;;;;;;;;;;;;;;;;;;
217;Corey Perry;40;TBL;RW;;;;;;;;;;;;;;;;;;;
218;Jamie Benn;36;DAL;LW;;;;;;;;;;;;;;;;;;;
219;Sean Couturier;33;PHI;C;;;;;;;;;;;;;;;;;;;
220;Max Domi;30;TOR;LW;;;;;;;;;;;;;;;;;;;
221;Thomas Harley;24;DAL;D;;;;;;;;;;;;;;;;;;;
222;John Marino;28;UTA;D;;;;;;;;;;;;;;;;;;;
223;Ilya Mikheyev;31;CHI;F;;;;;;;;;;;;;;;;;;;
224;Sean Monahan;31;CBJ;C;;;;;;;;;;;;;;;;;;;
225;Jake Neighbours;23;STL;LW;;;;;;;;;;;;;;;;;;;
226;Ryan Poehling;27;ANA;C;;;;;;;;;;;;;;;;;;;
227;Morgan Rielly;31;TOR;D;;;;;;;;;;;;;;;;;;;
228;Jack Roslovic;29;EDM;C;;;;;;;;;;;;;;;;;;;
229;Jordan Staal;37;CAR;C;;;;;;;;;;;;;;;;;;;
230;Eeli Tolvanen;26;SEA;RW;;;;;;;;;;;;;;;;;;;
231;Kiefer Sherwood;30;2TM;RW;;;;;;;;;;;;;;;;;;;
231;Kiefer Sherwood;30;VAN;RW;;;;;;;;;;;;;;;;;;;
231;Kiefer Sherwood;30;SJS;RW;;;;;;;;;;;;;;;;;;;
232;Michael Amadio;29;OTT;C;;;;;;;;;;;;;;;;;;;
233;Brent Burns;40;COL;D;;;;;;;;;;;;;;;;;;;
234;Blake Coleman;34;CGY;C;;;;;;;;;;;;;;;;;;;
235;Tony DeAngelo;30;NYI;D;;;;;;;;;;;;;;;;;;;
236;Vladislav Gavrikov;30;NYR;D;;;;;;;;;;;;;;;;;;;
237;Ridly Greig;23;OTT;C;;;;;;;;;;;;;;;;;;;
238;Luke Hughes;22;NJD;D;;;;;;;;;;;;;;;;;;;
239;Linus Karlsson;26;VAN;C;;;;;;;;;;;;;;;;;;;
240;Parker Kelly;26;COL;F;;;;;;;;;;;;;;;;;;;
241;Benjamin Kindel;18;PIT;C;;;;;;;;;;;;;;;;;;;
242;Gabriel Landeskog;33;COL;LW;;;;;;;;;;;;;;;;;;;
243;Fraser Minten;21;BOS;C;;;;;;;;;;;;;;;;;;;
244;Jean-Gabriel Pageau;33;NYI;C;;;;;;;;;;;;;;;;;;;
245;Ryan Shea;28;PIT;D;;;;;;;;;;;;;;;;;;;
246;Justin Sourdif;23;WSH;RW;;;;;;;;;;;;;;;;;;;
247;Teuvo TerÑvÑinen;31;CHI;F;;;;;;;;;;;;;;;;;;;
248;Jacob Trouba;31;ANA;D;;;;;;;;;;;;;;;;;;;
249;Marco Rossi;24;2TM;C;;;;;;;;;;;;;;;;;;;
249;Marco Rossi;24;MIN;C;;;;;;;;;;;;;;;;;;;
249;Marco Rossi;24;VAN;C;;;;;;;;;;;;;;;;;;;
250;Justin Brazeau;27;PIT;F;;;;;;;;;;;;;;;;;;;
251;Philip Broberg;24;STL;D;;;;;;;;;;;;;;;;;;;
252;Kris Letang;38;PIT;D;;;;;;;;;;;;;;;;;;;
253;Joshua Norris;26;BUF;C;;;;;;;;;;;;;;;;;;;
