Name;Pos;Age;Team
DANIIL MIROMANOV;D;29.0;Calgary Wranglers
DOMINIK SHINE;F;33.2;Grand Rapids Griffins
FREDERIC BRUNET;D;22.9;Providence Bruins
JUDD CAULFIELD;R;25.3;San Diego Gulls
LLEYTON ROED;F;23.9;Coachella Valley Firebirds
MITCH MCLAIN;F;32.6;Henderson Silver Knights
NICOLAS AUBE-KUBEL;R;30.1;Iowa Wild
RILEY FIDDLER-SCHULTZ;L;24.1;Rochester Americans
SAMUEL BLAIS;L;30.0;Laval Rocket
BRENDAN BRISSON;F;24.7;Hartford Wolf Pack
CROSS HANAS;F;24.5;Texas Stars
DILLON DUBE;L;27.9;Springfield Thunderbirds
DYLAN GAMBRELL;C;29.8;Iowa Wild
ERIK GUSTAFSSON;D;34.3;Grand Rapids Griffins
SAM MORTON;C;26.9;Calgary Wranglers
SANDIS VILMANIS;F;22.4;Charlotte Checkers
TY MUELLER;C;23.3;Abbotsford Canucks
WILMER SKOOG;F;27.0;Charlotte Checkers
ANGUS CROOKSHANK;L;26.7;Utica Comets
ATLEY CALVERT;C;22.8;Wilkes-Barre/Scranton Penguins
BRENDAN GAUNCE;C;32.3;Cleveland Monsters
BRIAN PINHO;F;31.1;Charlotte Checkers
CHRISTIAN KYROU;D;22.8;Lehigh Valley Phantoms
COOPER MARODY;F;29.5;Coachella Valley Firebirds
DAVID SPACEK;D;23.4;Iowa Wild
DMITRI SIMASHEV;D;21.4;Tucson Roadrunners
DOMENICK FENSORE;D;24.8;Chicago Wolves
GABE KLASSEN;C;23.0;Wilkes-Barre/Scranton Penguins
JACK WILLIAMS;C;24.3;Cleveland Monsters
JACOB GAUCHER;F;25.3;Lehigh Valley Phantoms
JARET ANDERSON-DOLAN;C;26.8;Manitoba Moose
RYAN TVERBERG;F;24.4;Toronto Marlies
TREVOR KUNTAR;L;25.0;Rochester Americans
ADAM ENGSTROM;D;22.6;Laval Rocket
EVAN VIERLING;F;24.0;Chicago Wolves
FRANCESCO PINELLI;F;23.2;Ontario Reign
HUNTER HAIGHT;F;22.2;Iowa Wild
JACOB QUILLAN;C;24.4;Toronto Marlies
JURAJ PEKARCIK;F;20.8;Springfield Thunderbirds
KASPER HALTTUNEN;F;20.0;San Jose Barracuda
KOLE LIND;F;27.7;Texas Stars
KYLE CRISCUOLO;C;34.2;Utica Comets
MATYAS SAPOVALIV;F;22.4;Henderson Silver Knights
NICK LARDIS;F;21.0;Rockford IceHogs
OWEN SILLINGER;C;28.8;Cleveland Monsters
SAMUEL FAGEMO;L;26.3;Manitoba Moose
TY NELSON;D;22.2;Coachella Valley Firebirds
ANTONIO STRANGES;F;24.4;Texas Stars
BRIAN HALONEN;F;27.5;Utica Comets
DANILA KLIMOVICH;R;23.5;Abbotsford Canucks
DERRICK POULIOT;D;32.5;Rockford IceHogs
IVAN MIROSHNICHENKO;L;22.4;Hershey Bears
OSCAR FISKER M??LGAARD;F;21.4;Coachella Valley Firebirds
PHILLIP DI GIUSEPPE;L;32.7;Manitoba Moose
RUTGER MCGROARTY;L;22.2;Wilkes-Barre/Scranton Penguins
SAM COLANGELO;F;24.5;San Diego Gulls
WALKER DUEHR;R;28.6;Manitoba Moose
IGOR CHERNYSHOV;F;20.6;San Jose Barracuda
JANI NYMAN;F;21.9;Coachella Valley Firebirds
JOEY ANDERSON;R;28.0;Rockford IceHogs
LOUIE BELPEDIO;D;30.1;Hershey Bears
LUKE HAYMES;C;22.9;Toronto Marlies
MATTHEW MAGGIO;F;23.6;Bridgeport Islanders
NOEL GUNLER;R;24.7;Chicago Wolves
OWEN BECK;F;22.4;Laval Rocket
SKYLER BRIND'AMOUR;F;26.9;Chicago Wolves
DANIL GUSHCHIN;F;24.4;Colorado Eagles
DAVID GUSTAFSSON;C;26.2;Manitoba Moose
GUSTAV OLOFSSON;D;31.6;Coachella Valley Firebirds
HARRISON SCOTT;F;25.8;Texas Stars
MARSHALL WARREN;D;25.2;Bridgeport Islanders
MATTEO PIETRONIRO;D;27.7;Syracuse Crunch
MATVEI GRIDIN;F;20.3;Calgary Wranglers
ROBERT MASTROSIMONE;L;25.4;Charlotte Checkers
TYE FELHABER;F;27.9;Colorado Eagles
WOJCIECH STACHOWIAK;C;27.0;Grand Rapids Griffins
CALEN ADDISON;D;26.2;Utica Comets
CARSON MEYER;R;28.9;Rochester Americans
CHRISTIAN WOLANIN;D;31.3;Providence Bruins
DANIEL CARR;L;34.7;Milwaukee Admirals
GARRETT PILON;C;28.2;Belleville Senators
HENRIK RYBINSKI;C;25.0;Hershey Bears
HUGH MCGING;F;28.0;Springfield Thunderbirds
JAKUB BRABENEC;F;22.8;Henderson Silver Knights
JOSH SAMANSKI;C;24.3;Bakersfield Condors
MICHAEL BENNING;D;24.5;Charlotte Checkers
NOLAN FOOTE;L;25.6;Charlotte Checkers
