Name;Pos;Age;Team
HELGE GRANS;D;24.1;Lehigh Valley Phantoms
JUSTIN HOLL;D;34.4;Grand Rapids Griffins
KEATON MIDDLETON;D;28.4;Colorado Eagles
LUKE TUCH;L;24.3;Laval Rocket
MARC MCLAUGHLIN;F;26.9;Utica Comets
PIERRICK DUBE;R;25.5;Bridgeport Islanders
RYAN MAST;D;23.5;Rockford IceHogs
RYDER ROLSTON;F;24.7;Milwaukee Admirals
SAM RINZEL;D;22.0;Rockford IceHogs
SEBASTIAN AHO;D;30.4;Wilkes-Barre/Scranton Penguins
SHAI BUIUM;D;23.3;Grand Rapids Griffins
THEO LINDSTEIN;D;21.5;Springfield Thunderbirds
ZACH DEAN;F;23.5;Springfield Thunderbirds
ALEX ALEXEYEV;D;26.6;Wilkes-Barre/Scranton Penguins
ALEX GAGNE;D;23.9;Colorado Eagles
ANDREAS ENGLUND;D;30.4;Milwaukee Admirals
ANDREW GIBSON;D;21.4;Milwaukee Admirals
ARTEM DUDA;D;22.2;Tucson Roadrunners
BEN MEYERS;F;27.6;Coachella Valley Firebirds
DAVID GUCCIARDI;D;23.7;Hershey Bears
DENNIS GILBERT;D;29.7;Belleville Senators
DEVIN KAPLAN;F;22.5;Lehigh Valley Phantoms
DONAVAN HOULE;F;26.7;San Jose Barracuda
HUNTER BRZUSTEWICZ;D;21.6;Calgary Wranglers
HUNTER ST. MARTIN;F;21.0;Charlotte Checkers
JOSH BROWN;D;32.4;Bakersfield Condors
KADEN HAMMELL;D;21.3;Coachella Valley Firebirds
KIRILL KIRSANOV;D;23.8;Ontario Reign
MARK SENDEN;F;28.4;Colorado Eagles
MATHIEU CATAFORD;F;21.3;Henderson Silver Knights
SONNY MILANO;L;30.1;Hershey Bears
TURNER OTTENBREIT;D;29.0;Calgary Wranglers
ASHTON SAUTNER;D;32.1;Manitoba Moose
AYRTON MARTINO;F;23.8;Texas Stars
BRADEN HACHE;D;23.1;San Jose Barracuda
BRADLEY MAREK;F;25.6;Iowa Wild
CALEB MACDONALD;D;23.6;Cleveland Monsters
CHASE BRADLEY;F;24.5;Colorado Eagles
GAVIN WHITE;D;23.6;Calgary Wranglers
JACOB MACDONALD;D;33.3;Colorado Eagles
JON MCDONALD;D;28.0;Hershey Bears
JULIAN LUTZ;F;22.3;Tucson Roadrunners
JULIEN GAUTHIER;R;28.7;Springfield Thunderbirds
LUKE PROKOP;D;24.1;Bakersfield Condors
LUKE ROWE;D;27.9;Bridgeport Islanders
MAREK ALSCHER;D;22.2;Charlotte Checkers
MATT KIERSTED;D;28.2;Iowa Wild
MATVEY PETROV;R;23.3;Bakersfield Condors
NIKITA PRISHCHEPOV;F;22.4;Colorado Eagles
PAVOL REGENDA;L;26.6;San Jose Barracuda
RYAN MCGREGOR;C;27.4;Tucson Roadrunners
SPENCER SMALLMAN;C;29.8;Hershey Bears
TOBIAS BJORNFOT;D;25.2;Charlotte Checkers
VICTOR MANCINI;D;24.1;Abbotsford Canucks
VSEVOLOD KOMAROV;D;22.5;Rochester Americans
XAVIER SIMONEAU;C;25.1;Laval Rocket
ALEC REGULA;D;25.9;Bakersfield Condors
BENNETT SCHIMEK;R;23.2;Abbotsford Canucks
BRANDON SCANLIN;D;27.1;Hartford Wolf Pack
BRENDAN HOFFMANN;F;24.7;San Jose Barracuda
BRENDAN WARREN;R;29.1;Rochester Americans
COLE CLAYTON;D;26.3;Abbotsford Canucks
DECLAN CARLILE;D;26.1;Syracuse Crunch
GLEB TRIKOZOV;L;21.9;Chicago Wolves
HAYDEN HODGSON;R;30.3;Belleville Senators
JAKE WISE;F;26.3;Colorado Eagles
KEVIN GRAVEL;D;34.3;Milwaukee Admirals
LANDEN HOOKEY;C;22.4;Belleville Senators
LUDVIG JANSSON;D;22.5;Charlotte Checkers
LUKAS DRAGICEVIC;D;21.2;Coachella Valley Firebirds
MACKENZIE ENTWISTLE;R;27.0;Charlotte Checkers
MAROS JEDLICKA;F;23.7;Colorado Eagles
MICHAEL BUCHINGER;D;22.2;Springfield Thunderbirds
MICHAEL PEZZETTA;L;28.3;Toronto Marlies
MIKO MATIKKA;F;22.7;Tucson Roadrunners
NATE CLURMAN;D;28.1;Laval Rocket
NICK POISSON;C;24.9;Abbotsford Canucks
NOAH WARREN;D;22.0;San Diego Gulls
SAMUEL JOHANNESSON;D;25.5;Springfield Thunderbirds
SIMON LUNDMARK;D;25.7;Syracuse Crunch
TATE SINGLETON;R;27.8;Cleveland Monsters
TOBIE BISSON;D;29.4;Laval Rocket
AIDEN FINK;R;21.6;Milwaukee Admirals
BEAU AKEY;D;21.4;Bakersfield Condors
BOKONDJI IMAMA;L;29.9;Wilkes-Barre/Scranton Penguins
CADEN PRICE;D;20.8;Coachella Valley Firebirds
CAMERON CROTTY;D;27.2;Belleville Senators
DAVID GOYETTE;F;22.3;Coachella Valley Firebirds
DAVID SILYE;C;27.3;Calgary Wranglers
DINO KAMBEITZ;R;26.4;Abbotsford Canucks
EETU LIUKAS;F;23.8;Bridgeport Islanders
JACK RICKETTS;F;26.8;Tucson Roadrunners
JACKSON DORRINGTON;D;22.2;Hartford Wolf Pack
JAKOV NOVAK;F;27.7;Coachella Valley Firebirds
JAYCOB MEGNA;D;33.6;Henderson Silver Knights
JETT WOO;D;25.9;San Jose Barracuda
JOEL NYSTROM;D;24.1;Chicago Wolves
JOSEPH LABATE;C;33.2;Abbotsford Canucks
KYLE MCDONALD;R;24.4;Texas Stars
LLEYTON MOORE;D;24.3;Tucson Roadrunners
MITCHELL VANDE SOMPEL;D;29.4;Charlotte Checkers
MONTANA ONYEBUCHI;D;26.3;Tucson Roadrunners
NOAH OSTLUND;C;22.3;Rochester Americans
OLIVER MOORE;F;21.4;Rockford IceHogs
PHIL KEMP;D;27.4;Wilkes-Barre/Scranton Penguins
RYAN GRAVES;D;31.1;Wilkes-Barre/Scranton Penguins
SAMU TUOMAALA;F;23.5;Texas Stars
TOMMY MILLER;D;27.3;Syracuse Crunch
VICTOR EKLUND;F;19.7;Bridgeport Islanders
ALEXANDER HOLTZ;F;24.4;Henderson Silver Knights
BLAKE SMITH;D;21.7;Toronto Marlies
BRODY LAMB;F;22.8;Hartford Wolf Pack
CHAS SHARPE;D;22.6;Toronto Marlies
CHASE STILLMAN;R;23.3;Abbotsford Canucks
COLE EISERMAN;F;19.8;Bridgeport Islanders
CONNOR MYLYMOK;L;26.3;Rockford IceHogs
IAN MCKINNON;F;28.3;Coachella Valley Firebirds
IVAN RYABKIN;C;19.2;Chicago Wolves
JACK MALONE;F;25.7;Utica Comets
JACK MILLAR;D;25.6;Ontario Reign
JAKE FURLONG;D;22.3;Rockford IceHogs
JUJHAR KHAIRA;C;31.9;Abbotsford Canucks
LUCAS CIONA;L;23.5;Calgary Wranglers
MATTEO COSTANTINI;C;23.9;Rochester Americans
NOAH LAAOUAN;D;25.3;Rochester Americans
RYAN SANDELIN;F;27.5;Iowa Wild
TAIGE HARDING;D;24.5;Rockford IceHogs
VILMER ALRIKSSON;L;21.4;Abbotsford Canucks
WYATT NEWPOWER;D;28.6;Springfield Thunderbirds
ADAM GINNING;D;26.5;Lehigh Valley Phantoms
ALEX STEEVES;C;26.6;Providence Bruins
BLAKE HILLMAN;D;30.4;Hartford Wolf Pack
BRYAN YOON;D;28.4;Colorado Eagles
C.J. SMITH;F;31.6;Bridgeport Islanders
CHARLES ALEXIS LEGAULT;D;22.8;Chicago Wolves
COOPER MOORE;D;25.4;Hartford Wolf Pack
DANIEL WALCOTT;L;32.4;Hartford Wolf Pack
DILLON BOUCHER;F;29.2;Rockford IceHogs
ELIAS SALOMONSSON;D;21.8;Manitoba Moose
FEDOR SVECHKOV;C;23.2;Milwaukee Admirals
JACKSON CATES;F;28.8;Rockford IceHogs
JARRED TINORDI;D;34.4;Syracuse Crunch
KALAN LIND;L;21.4;Milwaukee Admirals
KYLE LOOFT;D;28.0;Texas Stars
MACKENZIE MACEACHERN;L;32.3;Abbotsford Canucks
MARC GATCOMB;F;26.9;Bridgeport Islanders
MARK DUARTE;R;23.8;Belleville Senators
MASON MILLMAN;D;24.9;Bakersfield Condors
MAX MCCUE;C;23.4;Cleveland Monsters
MELVIN FERNSTROM;R;20.3;Wilkes-Barre/Scranton
MIKAEL DIOTTE;D;23.2;Utica Comets
SAM LIPKIN;F;23.5;Tucson Roadrunners
SCOTT SABOURIN;R;33.9;Syracuse Crunch
VLADISLAV KOLYACHONOK;D;25.1;Texas Stars
ANTON JOHANSSON;D;22.1;Grand Rapids Griffins
AUSTIN ROEST;C;22.4;Milwaukee Admirals
CAM ALLEN;D;21.5;Hershey Bears
CARSON BANTLE;L;24.4;Grand Rapids Griffins
CAVAN FITZGERALD;D;29.9;Rockford IceHogs
COLTON WHITE;D;29.2;Utica Comets
DAKOTA MERMIS;D;32.5;Toronto Marlies
DALTON BANCROFT;R;25.3;Milwaukee Admirals
DALTON SMITH;L;34.0;Hershey Bears
DMITRY OSIPOV;D;29.7;Utica Comets
ETIENNE MORIN;D;21.3;Calgary Wranglers
GRAHAM SLAGGERT;L;27.2;Rochester Americans
HARRISON BRUNICKE;D;20.1;Wilkes-Barre/Scranton Penguins
JACOB JULIEN;C;21.8;Manitoba Moose
JALEN LUYPEN;C;24.0;Hershey Bears
JOE ARNTSEN;D;23.1;Abbotsford Canucks
JUSTIN ERTEL;L;23.1;Texas Stars
JUUSO PARSSINEN;C;25.4;Hartford Wolf Pack
LEON MUGGLI;D;20.0;Hershey Bears
LUCAS VANROBOYS;F;26.9;San Jose Barracuda
NIKITA SUSUYEV;F;21.4;Springfield Thunderbirds
NIKOLAI KNYZHOV;D;28.3;Abbotsford Canucks
RILEY BEZEAU;R;24.2;Cleveland Monsters
RYAN GAGNIER;C;24.0;Rockford IceHogs
RYAN MCALLISTER;F;24.5;Wilkes-Barre/Scranton Penguins
SAM BITTEN;L;26.3;Hershey Bears
SIMON ROBERTSSON;F;23.4;Springfield Thunderbirds
STANISLAV SVOZIL;D;23.4;Cleveland Monsters
VINCENT IORIO;D;23.6;San Jose Barracuda
AARON NESS;D;36.1;Hershey Bears
BRANDON HICKEY;D;30.2;Henderson Silver Knights
COLTON HUARD;D;25.6;Charlotte Checkers
COOPER FLINTON;L;22.9;Syracuse Crunch
DYLAN HRYCKOWIAN;F;22.1;Texas Stars
EAMON POWELL;D;24.1;Charlotte Checkers
ETHAN KEPPEN;R;25.3;Bakersfield Condors
GAVIN BRINDLEY;R;21.7;Colorado Eagles
HUNTER MCDONALD;D;24.1;Lehigh Valley Phantoms
ISAAC BELLIVEAU;D;23.6;Rochester Americans
JACK MATIER;D;23.2;Milwaukee Admirals
JACK ST. IVANY;D;26.9;Wilkes-Barre/Scranton Penguins
JAKUB DVORAK;D;21.1;Ontario Reign
JOSH FILMON;F;22.3;Utica Comets
KAI SCHWINDT;F;22.5;Charlotte Checkers
KENTA ISOGAI;F;21.8;Ontario Reign
KYLE CRNKOVIC;F;23.7;San Jose Barracuda
LEO LOOF;D;24.2;Springfield Thunderbirds
LIAM MCLINSKEY;F;25.4;Charlotte Checkers
MICHAEL MILNE;F;23.8;Grand Rapids Griffins
NOLAN RENWICK;R;25.4;Wilkes-Barre/Scranton Penguins
PARKER BELL;L;22.8;Calgary Wranglers
RAIVIS ANSONS;L;24.4;Wilkes-Barre/Scranton Penguins
RED SAVAGE;C;23.1;Rochester Americans
SEAN CHISHOLM;F;25.4;Texas Stars
SHAWN ELEMENT;L;26.2;Milwaukee Admirals
SPENCER KERSTEN;R;26.1;Syracuse Crunch
STEVEN SANTINI;D;31.3;Syracuse Crunch
TOMAS HAMARA;D;23.3;Belleville Senators
TOMMY BERGSLAND;D;25.3;Texas Stars
TY MURCHISON;D;23.4;Lehigh Valley Phantoms
ANDREW BASHA;L;20.6;Calgary Wranglers
COOPER WALKER;C;24.0;Abbotsford Canucks
DALIBOR DVORSKY;F;21.0;Springfield Thunderbirds
DENNIS CHOLOWSKI;D;28.4;Utica Comets
DOMINIC JAMES;C;24.0;Syracuse Crunch
EMIL ANDRAE;D;24.3;Lehigh Valley Phantoms
GIVANI SMITH;L;28.3;Chicago Wolves
JACOB PERREAULT;R;24.2;Providence Bruins
JOSH JACOBS;D;30.4;Laval Rocket
JOSIAH DIDIER;D;33.2;Laval Rocket
KEVIN CONNAUTON;D;36.3;Tucson Roadrunners
KYLE BURROUGHS;D;31.0;Ontario Reign
LIAM OHGREN;L;22.4;Iowa Wild
LUCAS JOHANSEN;D;28.6;Henderson Silver Knights
LUKE MITTELSTADT;D;23.4;Laval Rocket
MARSHALL RIFAI;D;28.3;Toronto Marlies
MASSIMO RIZZO;F;25.0;Milwaukee Admirals
OTTO SALIN;D;22.3;Ontario Reign
QUINTON BURNS;D;21.2;Springfield Thunderbirds
RASMUS KUMPULAINEN;F;20.9;Iowa Wild
SHANE BOWERS;F;27.0;San Jose Barracuda
SLOAN STANICK;F;22.9;Henderson Silver Knights
TYLER KOPFF;L;23.2;Rochester Americans
TYREL BAUER;D;24.3;Manitoba Moose
VINCENT ARSENEAU;L;34.3;Laval Rocket
WILL DINEEN;F;25.6;Laval Rocket
WILL ZMOLEK;D;27.2;Iowa Wild
ZACH GALLANT;R;27.3;Wilkes-Barre/Scranton Penguins
ZACH UENS;D;25.1;Coachella Valley Firebirds
ZAYNE PAREKH;D;20.4;Calgary Wranglers
ANDREW PERROTT;D;24.8;Rockford IceHogs
ANRI RAVINSKIS;L;23.5;Abbotsford Canucks
BEN KING;C;24.1;Toronto Marlies
BRANDON BADDOCK;L;31.3;Toronto Marlies
BRAYDEN HISLOP;D;22.8;Rockford IceHogs
BRYCE MONTGOMERY;D;23.6;Chicago Wolves
CHAD HILLEBRAND;L;27.4;Grand Rapids Griffins
CHASE YODER;C;24.1;Manitoba Moose
CHRISTOFFER SEDOFF;D;24.4;Milwaukee Admirals
COLIN FELIX;D;27.5;Providence Bruins
CONNOR CLATTENBURG;L;21.2;Bakersfield Condors
COULSON PITRE;R;21.5;San Diego Gulls
DAVID BREAZEALE;D;26.2;Wilkes-Barre/Scranton Penguins
DAVID GAGNON;F;26.2;Chicago Wolves
DJIBRIL TOURE;D;23.1;Belleville Senators
ELLIOT DESNOYERS;L;24.4;Iowa Wild
ERIKS MATEIKO;C;20.6;Hershey Bears
GLEB VEREMYEV;F;23.0;Bridgeport Islanders
JACKSON EDWARD;D;22.3;Lehigh Valley Phantoms
JACKSON VAN DE LEEST;D;25.0;Utica Comets
JACOB DOTY;F;33.0;Ontario Reign
JAMES HAGENS;F;;Providence
JAXON NELSON;F;26.2;Iowa Wild
KALLE VAISANEN;F;23.4;Hartford Wolf Pack
KYLE CAPOBIANCO;D;28.9;Texas Stars
LANDON SLAGGERT;F;24.0;Rockford IceHogs
MARK LIWISKI;F;24.9;Iowa Wild
MATTHEW WOOD;L;21.4;Milwaukee Admirals
NOAH POWELL;R;21.4;Lehigh Valley Phantoms
REECE NEWKIRK;F;25.4;Syracuse Crunch
RILEY THOMPSON;C;23.9;Lehigh Valley Phantoms
SAM STANGE;F;25.2;Springfield Thunderbirds
TIM REGO;D;25.7;Ontario Reign
VITALI KRAVTSOV;R;26.5;Abbotsford Canucks
ZACK OSTAPCHUK;C;23.1;San Jose Barracuda
ZAKARY KARPA;F;24.3;Hartford Wolf Pack
AIDAN FULP;D;26.3;Rochester Americans
ALEX GALLANT;L;33.6;Calgary Wranglers
ARAM MINNETIAN;D;21.3;Texas Stars
ARNAUD DURANDEAU;L;27.5;Abbotsford Canucks
AXEL SANDIN-PELLIKKA;D;21.3;Grand Rapids Griffins
BLAKE BIONDI;C;24.2;Chicago Wolves
BRADY STONEHOUSE;R;21.9;Bakersfield Condors
CADE WEBBER;D;25.5;Toronto Marlies
CALLE ODELIUS;D;22.1;Bridgeport Islanders
CALUM RITCHIE;C;21.4;Bridgeport Islanders
CAREY TERRANCE;F;21.1;Hartford Wolf Pack
CARTER BERGER;D;26.8;Lehigh Valley Phantoms
CARTER WILKIE;C;26.2;Calgary Wranglers
CHARLE-EDOUARD D'ASTOUS;D;28.2;Syracuse Crunch
CHASE DAFOE;F;24.3;Rockford IceHogs
COLE KNUBLE;C;22.0;Lehigh Valley Phantoms
DANIEL LAATSCH;D;24.4;Wilkes-Barre/Scranton Penguins
DYLAN WENDT;F;25.5;Utica Comets
EASTON COWAN;L;21.1;Toronto Marlies
EDDIE GENBORG;F;19.2;Grand Rapids Griffins
ELLIS RICKWOOD;F;24.0;Texas Stars
EMIL PIENINIEMI;D;21.3;Wilkes-Barre/Scranton Penguins
FABIAN WAGNER;L;22.1;Manitoba Moose
GUSTAV STJERNBERG;D;23.7;Colorado Eagles
HARRISON ISRAELS;C;26.8;Rockford IceHogs
JACK ANDERSON;D;23.6;Texas Stars
JACK FINLEY;C;23.8;Syracuse Crunch
JACOB TRUSCOTT;D;24.2;Grand Rapids Griffins
JOE DUNLAP;R;26.6;Laval Rocket
JOHN PROKOP;D;25.1;Toronto Marlies
JONATHAN ASPIROT;D;27.1;Providence Bruins
JORDAN HARRIS;D;26.0;Providence Bruins
JOSH BLOOM;L;23.1;Bakersfield Condors
JUSTIN NACHBAUR;R;26.3;Hershey Bears
KALEB LAWRENCE;C;23.5;Rochester Americans
KYLER KUPKA;C;27.1;Hershey Bears
LANDON SIM;F;22.0;Toronto Marlies
LUCAS WAHLIN;F;25.2;Manitoba Moose
MASON GEERTSEN;L;31.2;Rochester Americans
MATT COPPONI;C;23.1;Bakersfield Condors
MATT DIMARSICO;L;22.5;Colorado Eagles
MATTHEW STIENBURG;F;25.7;Colorado Eagles
MAX WANNER;D;23.3;Providence Bruins
MILO ROELENS;C;23.5;Syracuse Crunch
NATHAN BASTIAN;R;28.6;Texas Stars
NIKO HUUHTANEN;R;23.0;Syracuse Crunch
OLE JULIAN BJ??RGVIK-HOLM;D;24.1;Cleveland Monsters
PATRICK THOMAS;L;21.9;Hershey Bears
PHIP WAUGH;D;26.5;Hartford Wolf Pack
REILLY WEBB;D;27.2;Hershey Bears
RILEY KIDNEY;C;23.3;Belleville Senators
RILEY MCKAY;F;27.3;Henderson Silver Knights
ROGER MCQUEEN;C;19.7;San Diego Gulls
ROMAN SCHMIDT;D;23.3;Iowa Wild
RYAN KIRWAN;L;24.3;Toronto Marlies
RYAN O'ROURKE;D;24.1;Belleville Senators
TRAVIS DERMOTT;D;29.5;Hartford Wolf Pack
TYSON EMPEY;L;31.0;Manitoba Moose
ARTEM GRUSHNIKOV;D;23.3;Calgary Wranglers
ARTUR CHOLACH;D;23.1;Henderson Silver Knights
BRANDON BUHR;F;24.0;Toronto
BRANDON HOLT;D;25.2;Tucson Roadrunners
CHARLIE WRIGHT;D;22.7;Coachella Valley Firebirds
CHRIS HARPUR;D;29.8;Syracuse Crunch
COLIN RALPH;D;20.7;Springfield Thunderbirds
CONNOR PUNNETT;D;23.0;Texas Stars
COOPER GAY;F;24.3;Colorado Eagles
D.J. KING;D;25.9;Hershey Bears
DANIEL RUSSELL;F;24.6;Wilkes-Barre/Scranton Penguins
DYLAN JAMES;L;22.7;Grand Rapids Griffins
EGOR ZAMULA;D;26.2;Wilkes-Barre/Scranton Penguins
ETHAN FRISCH;D;25.7;Manitoba Moose
ETHEN FRANK;R;28.4;Hershey Bears
FELIX TRUDEAU;F;23.8;Springfield Thunderbirds
GUILLAUME BRISEBOIS;D;28.9;Abbotsford Canucks
HANK KEMPF;D;24.2;Colorado Eagles
JACKSON KUNZ;C;23.9;Abbotsford Canucks
JAKE BOLTMANN;D;24.7;San Jose Barracuda
JAKE FURLONG;D;23.2;San Jose Barracuda
JAROD CRESPO;D;24.2;San Jose Barracuda
JESSE KIISKINEN;R;20.9;Grand Rapids Griffins
JESSE PULKKINEN;D;21.5;Bridgeport Islanders
JIRI FELCMAN;F;21.2;Rockford IceHogs
JUSTIN JANICKE;F;22.0;Coachella Valley Firebirds
KADEN BOHLSEN;F;25.5;Hershey Bears
KEVIN CONLEY;C;29.4;Manitoba Moose
KYLE JACKSON;F;23.7;Hartford Wolf Pack
LOGAN MAILLOUX;D;23.2;Springfield Thunderbirds
LUKE KUNIN;C;28.6;Charlotte Checkers
MATHIEU DE ST. PHALLE;R;26.3;Wilkes-Barre/Scranton Penguins
MATT BASGALL;D;23.9;San Diego Gulls
MAX DORRINGTON;F;24.8;Bridgeport Islanders
MAX GRONDIN;C;26.0;Syracuse Crunch
MAX SASSON;C;25.8;Abbotsford Canucks
MICHAEL KOSTER;D;25.2;Iowa Wild
MIKHAIL ILYIN;F;21.4;Wilkes-Barre/Scranton Penguins
NAVRIN MUTTER;L;25.3;Providence Bruins
NICKY LEIVERMANN;D;27.8;Hershey Bears
NOAH BECK;D;25.3;San Jose Barracuda
NOLAN MOYLE;R;27.2;Grand Rapids Griffins
PAUL LUDWINSKI;F;22.2;Rockford IceHogs
REILLY CONNORS;C;26.3;Colorado Eagles
RILEY PATTERSON;C;20.3;Abbotsford Canucks
ROBBY FABBRI;C;30.4;Charlotte Checkers
RYLAND MOSLEY;L;26.4;Rockford IceHogs
SCOOTER BRICKEY;D;27.1;Wilkes-Barre/Scranton Penguins
SHELDON REMPAL;R;30.9;Hershey Bears
SIMON MACK;D;25.3;Calgary Wranglers
T.J. HUGHES;C;24.6;Colorado Eagles
TOM WILLANDER;D;21.4;Abbotsford Canucks
TOMMY LAFRENIERE;R;19.5;Bakersfield Condors
TYLER INAMOTO;D;27.2;Bakersfield Condors
VIGGO GUSTAFSSON;D;19.8;Milwaukee Admirals
VINZENZ ROHRER;F;21.8;Laval Rocket
WILLIAM DUFOUR;L;24.4;Grand Rapids Griffins
YAN KUZNETSOV;D;24.3;Calgary Wranglers
YANICK TURCOTTE;L;30.0;Chicago Wolves
ZAC FUNK;L;22.9;Hershey Bears
ZACK HAYES;D;27.2;Milwaukee Admirals
AIDAN HRESCHUK;D;23.4;Texas Stars
AIDEN HANSEN-BUKATA;D;27.0;Colorado Eagles
ALFONS FREIJ;D;20.4;Manitoba Moose
ANDREJ SUSTR;D;35.6;Bridgeport Islanders
AUSTIN BRIMMER;R;24.9;Abbotsford Canucks
BLAKE MONTGOMERY;L;21.2;Belleville Senators
BRADEN BIRNIE;L;24.7;Abbotsford Canucks
BRENDAN SMITH;D;37.4;Cleveland Monsters
CAMERON BUTLER;R;24.1;Iowa Wild
CARSON GOLDER;R;23.7;Lehigh Valley Phantoms
CASE MCCARTHY;D;25.5;Hartford Wolf Pack
CHARLIE ELICK;D;20.4;Cleveland Monsters
CHASE WHEATCROFT;F;24.1;Texas Stars
CHRIS ORTIZ;D;25.4;Hartford Wolf Pack
CHRISTOPHER BROWN;R;30.4;Providence Bruins
CHRISTOPHER DOUGLAS;R;26.0;Rochester Americans
CONNOR MAYER;D;27.0;Hershey Bears
DAVID KAMPF;F;31.5;Toronto Marlies
DAVID LEWANDOWSKI;F;19.4;Bakersfield Condors
DAWSON BARTEAUX;D;26.5;Manitoba Moose
DEREK DASCHKE;D;28.5;Abbotsford Canucks
DREW CALLIN;F;31.2;Providence Bruins
DREW ELLIOTT;L;23.2;San Diego Gulls
DYLAN MOULTON;D;25.2;Manitoba
FILIP HALLANDER;L;26.1;Wilkes-Barre/Scranton Penguins
HOYT STANLEY;D;21.4;Belleville Senators
ISAK WALTHER;R;24.9;Milwaukee Admirals
ISRAEL MIANSCUM;L;23.2;Laval Rocket
JACK BERGLUND;C;20.2;Lehigh Valley Phantoms
JACKSON BEREZOWSKI;C;24.4;Coachella Valley Firebirds
JACKSON JUTTING;F;25.3;Grand Rapids
JAKE CHIASSON;R;23.1;Belleville Senators
JAKUB DEMEK;F;23.1;Henderson Silver Knights
JAYDEN GRUBBE;C;23.5;Abbotsford Canucks
JORDAN GUSTAFSON;F;22.4;Henderson Silver Knights
JOSH DAVIES;L;22.3;Milwaukee Admirals
JOSH DUNNE;C;27.6;Rochester Americans
JOSH LOPINA;C;25.4;Rockford IceHogs
JOSH NADEAU;F;22.7;Laval Rocket
KALEB PEARSON;F;26.0;Texas
KEATON MASTRODONATO;F;27.4;Ontario Reign
KONNOR SMITH;D;21.6;San Diego Gulls
LIAM VALENTE;C;23.1;Rochester Americans
LUDWIG PERSSON;R;22.7;Hershey Bears
LUKAS GUSTAFSSON;D;23.5;Manitoba Moose
MARCEL MARCEL;F;22.7;Rockford IceHogs
MATHIEU JOSEPH;F;29.4;Springfield Thunderbirds
MATTHEW BROWN;F;26.9;Bakersfield Condors
MATTHEW SAVOIE;R;22.5;Bakersfield Condors
MAX PSENICKA;D;19.4;Tucson Roadrunners
MAXIM STRBAK;D;21.2;Rochester Americans
MICHAEL MISA;F;19.4;San Jose Barracuda
MILAN LUCIC;L;38.1;Springfield Thunderbirds
MIROSLAV HOLINKA;C;20.6;Toronto Marlies
NEIL SHEA;F;26.9;Colorado Eagles
NICK LEDDY;D;35.3;San Jose
NOAH STEEN;L;21.9;Syracuse Crunch
PETER TISCHKE;D;30.5;Rochester Americans
RADIM MRTKA;D;19.1;Rochester Americans
REECE VITELLI;R;25.0;Manitoba Moose
RHETT PARSONS;D;22.7;Toronto Marlies
ROBBY DRAZNER;D;26.4;Abbotsford Canucks
RYAN CHYZOWSKI;C;26.1;Calgary Wranglers
RYAN HOFER;R;24.1;Hershey Bears
SAIGE WEINSTEIN;D;21.1;Colorado Eagles
SAMUEL LABERGE;F;29.2;San Jose Barracuda
SAWYER BOULTON;F;22.0;Lehigh Valley Phantoms
SIMON PINARD;F;25.1;Hershey Bears
TRAVIS HOWE;R;32.4;San Diego Gulls
TYLER MOTTE;L;31.3;Charlotte Checkers
TYSON FEIST;D;25.5;Bakersfield Condors
VIKING GUSTAFSSON NYBERG;D;22.8;Iowa Wild
VINNY BORGESI;D;22.3;Toronto Marlies
WILLIAM NICHOLL;C;20.1;Bakersfield Condors
WYATTE WYLIE;D;26.7;Laval Rocket
ZACH URDAHL;F;24.7;Wilkes-Barre/Scranton Penguins
ZAKHAR BARDAKOV;L;25.3;Colorado Eagles
AIDEN DUBINSKY;D;22.2;Laval Rocket
ALEX GAFFNEY;L;24.0;Hershey Bears
ANDRE ANANIA;D;23.3;Milwaukee Admirals
ANDREW MANGIAPANE;R;30.2;Bakersfield Condors
ANTHONY KEHRER;D;24.3;Springfield Thunderbirds
ANTHONY ROMANO;F;25.7;Springfield Thunderbirds
ANTON LUNDMARK;F;25.2;Charlotte Checkers
ANTONIO VENUTO;R;26.3;
ARTEM GURYEV;D;23.1;Lehigh Valley Phantoms
BEN DEXHEIMER;D;24.0;Iowa Wild
BEN MEEHAN;D;25.2;Lehigh Valley Phantoms
BEN STRINDEN;R;24.1;Milwaukee Admirals
BEN ZLOTY;D;24.3;Manitoba Moose
BRADEN DOYLE;D;24.8;Chicago Wolves
BRAIDAN SIMMONS-FISCHER;D;24.4;Iowa
BRANDON HAWKINS;R;32.2;Grand Rapids Griffins
BRAYDEN EDWARDS;F;21.5;Wilkes-Barre/Scranton Penguins
BRENDAN GORMAN;F;23.4;Ontario Reign
BRENT JOHNSON;D;23.3;Wilkes-Barre/Scranton Penguins
BROOKLYN KALMIKOV;L;25.2;Providence Bruins
BROTEN SABO;D;23.9;Wilkes-Barre/Scranton Penguins
CAIGE STERZER;F;25.9;Hartford Wolf Pack
CALEB JONES;D;29.1;Wilkes-Barre/Scranton Penguins
CHAD NYCHUK;D;25.3;Milwaukee Admirals
CHASE PAULS;D;22.7;Calgary Wranglers
CHONGMIN LEE;F;27.1;Cleveland Monsters
CHRIS HEDDEN;D;23.8;Colorado
CHRISTIAN FELTON;D;26.4;Abbotsford Canucks
CHRISTIAN FITZGERALD;F;24.1;Texas Stars
COLE KRYGIER;D;26.2;Charlotte Checkers
COLIN SWOYER;D;28.2;Cleveland Monsters
